Depth,VpHYS14,VpHYSB1,VsHYSB1,VsHYS14,Thickness
0.0,1.81,1.945,0.6706896551724139,0.8227272727272726,0.0
0.1,1.819,1.974,0.6806896551724138,0.8268181818181817,0.1
0.2,1.965,2.0,0.6896551724137931,0.8931818181818182,0.1
0.3,2.188,2.041,0.7037931034482758,0.9945454545454545,0.09999999999999998
0.4,2.209,2.088,0.7200000000000001,1.0040909090909091,0.10000000000000003
0.5,2.248,2.146,0.74,1.0218181818181817,0.09999999999999998
0.6,2.281,2.408,0.8303448275862069,1.0368181818181819,0.09999999999999998
0.7,2.336,2.465,0.85,1.0618181818181818,0.09999999999999998
0.8,2.343,2.515,0.867241379310345,1.065,0.10000000000000009
0.9,2.376,2.573,0.8872413793103449,1.0799999999999998,0.09999999999999998
1.0,2.442,2.643,0.9113793103448276,1.11,0.09999999999999998
1.1,2.555,2.676,0.9227586206896553,1.1613636363636364,0.10000000000000009
1.2,2.667,2.726,0.9400000000000001,1.2122727272727272,0.09999999999999987
1.3,2.679,2.785,0.960344827586207,1.2177272727272725,0.10000000000000009
1.4,2.698,2.773,0.9562068965517242,1.2263636363636363,0.09999999999999987
1.5,2.703,2.774,0.9565517241379311,1.2286363636363635,0.10000000000000009
1.6,2.722,2.814,0.970344827586207,1.237272727272727,0.10000000000000009
1.7,2.727,2.825,0.9741379310344829,1.2395454545454543,0.09999999999999987
1.8,2.751,2.828,0.9751724137931034,1.2504545454545453,0.10000000000000009
1.9,2.764,2.851,0.983103448275862,1.2563636363636361,0.09999999999999987
2.0,2.857,2.882,0.993793103448276,1.2986363636363636,0.10000000000000009
2.2,3.025,2.901,1.0003448275862068,1.3749999999999998,0.20000000000000018
2.4,3.378,2.9,1.0,1.5354545454545454,0.19999999999999973
2.6,3.537,2.93,1.010344827586207,1.6077272727272727,0.20000000000000018
2.8,3.757,4.336,1.4951724137931035,1.7077272727272725,0.19999999999999973
3.0,3.925,4.578,1.5786206896551727,1.784090909090909,0.20000000000000018
3.2,4.215,4.805,1.6568965517241379,1.9159090909090908,0.20000000000000018
3.4,3.956,5.041,1.7382758620689658,1.798181818181818,0.19999999999999973
3.6,3.938,5.3,1.8275862068965518,1.79,0.20000000000000018
3.8,3.869,5.616,1.936551724137931,1.7586363636363636,0.19999999999999973
4.0,3.794,6.236,2.1503448275862067,1.7245454545454544,0.20000000000000018
4.3,3.77,6.779,2.337586206896552,1.7136363636363634,0.2999999999999998
4.6,3.779,6.865,2.367241379310345,1.7177272727272725,0.2999999999999998
4.9,4.113,6.845,2.3603448275862067,1.8695454545454546,0.3000000000000007
5.2,4.158,6.964,2.401379310344828,1.89,0.2999999999999998
5.5,4.195,6.981,2.407241379310345,1.9068181818181817,0.2999999999999998
5.8,4.25,6.896,2.3779310344827587,1.9318181818181817,0.2999999999999998
