lat,lon,depth,starttime,energy,duration 
44.41,-122.69,60.0,2009-08-19 02:55:00,0.0, None 
44.6,-123.33,32.5,2009-08-24 00:35:00,0.0, None 
44.58,-123.61,60.0,2009-08-24 11:15:00,0.0, None 
44.59,-123.82,49.5,2009-08-24 11:40:00,0.0, None 
44.56,-123.605,47.0,2009-08-24 23:32:30,0.0, None 
44.6,-123.12,20.0,2009-08-27 02:32:30,0.0, None 
44.51,-123.62,60.0,2009-08-28 02:05:00,0.0, None 
44.48,-123.59,60.0,2009-08-28 12:57:30,0.0, None 
44.58,-124.29,60.0,2009-08-30 09:02:30,0.0, None 
44.59,-123.64,29.0,2009-09-01 15:00:00,0.0, None 
44.5,-123.1,35.0,2009-09-02 12:50:00,0.0, None 
44.585,-123.54,45.0,2009-09-03 00:57:30,0.0, None 
44.6,-123.81,20.0,2009-09-03 02:47:30,0.0, None 
44.6,-123.47,45.0,2009-09-03 06:00:00,0.0, None 
44.6,-123.33,52.0,2009-09-03 06:02:30,0.0, None 
44.52,-123.465,39.0,2009-09-03 06:47:30,0.0, None 
44.4,-123.44,20.0,2009-09-03 06:50:00,0.0, None 
44.6,-123.81,60.0,2009-09-03 07:17:30,0.0, None 
44.43,-123.5,50.0,2009-09-03 07:20:00,0.0, None 
44.58,-123.46,41.5,2009-09-03 08:17:30,0.0, None 
44.58,-123.49,60.0,2009-09-03 08:35:00,0.0, None 
44.58,-123.44,20.0,2009-09-03 09:32:30,0.0, None 
44.6,-123.54,42.0,2009-09-03 11:27:30,0.0, None 
44.6,-123.63,60.0,2009-09-03 13:30:00,0.0, None 
44.57,-123.41,26.0,2009-09-03 19:07:30,0.0, None 
44.55,-123.36,20.0,2009-09-03 19:57:30,0.0, None 
44.58,-123.31,20.0,2009-09-03 20:00:00,0.0, None 
44.41,-123.47,45.0,2009-09-03 20:02:30,0.0, None 
44.52,-123.22,20.0,2009-09-03 20:47:30,0.0, None 
44.48,-123.662,40.0,2009-09-04 00:42:30,0.0, None 
44.52,-123.32,20.0,2009-09-04 01:10:00,0.0, None 
44.56,-123.6,30.0,2009-09-04 01:17:30,0.0, None 
44.49,-123.81,27.5,2009-09-04 01:20:00,0.0, None 
44.44,-123.44,20.0,2009-09-04 03:00:00,0.0, None 
44.44,-123.41,20.0,2009-09-04 03:02:30,0.0, None 
44.44,-123.5,20.0,2009-09-04 03:05:00,0.0, None 
44.55,-123.35,20.0,2009-09-04 03:17:30,0.0, None 
44.52,-123.3,60.0,2009-09-04 03:40:00,0.0, None 
44.59,-123.4,41.0,2009-09-04 03:42:30,0.0, None 
44.55,-123.29,60.0,2009-09-04 03:45:00,0.0, None 
44.515,-123.405,39.0,2009-09-04 03:47:30,0.0, None 
44.515,-123.46,32.5,2009-09-04 03:50:00,0.0, None 
44.575,-123.295,60.0,2009-09-04 03:57:30,0.0, None 
44.51,-123.59,50.0,2009-09-04 04:45:00,0.0, None 
44.46,-123.54,20.0,2009-09-04 05:10:00,0.0, None 
44.56,-123.645,60.0,2009-09-04 05:25:00,0.0, None 
44.558,-123.58,47.0,2009-09-04 05:45:00,0.0, None 
44.59,-123.29,60.0,2009-09-04 06:45:00,0.0, None 
44.495,-123.31,46.5,2009-09-04 06:47:30,0.0, None 
44.58,-123.295,31.5,2009-09-04 07:15:00,0.0, None 
