event_date,Number of Events
2009-08-20,6
2009-09-10,1
2009-09-13,4
2009-09-15,2
2009-10-02,8
2009-10-10,17
2009-10-11,17
2009-10-12,8
2010-01-23,10
2010-02-03,1
2010-02-22,2
2010-02-24,2
2010-02-25,2
2010-03-26,4
2010-03-27,7
2010-03-28,33
2010-03-29,5
2010-03-30,4
2010-03-31,22
2010-04-28,1
2010-08-02,1
2010-08-22,3
2010-08-23,8
2010-08-24,5
2010-08-25,9
2010-08-26,47
2010-08-27,78
2010-08-28,134
2010-08-29,191
2010-08-30,128
2010-08-31,95
2010-09-01,151
2010-09-02,283
2010-09-03,234
2010-09-04,162
2010-09-05,36
2010-09-06,6
2010-09-08,99
2010-09-10,9
2010-12-31,1
2011-01-01,39
2011-01-02,9
2011-01-15,6
2011-02-20,6
2011-06-11,37
2011-06-12,20
2011-06-28,6
2011-06-29,1
2011-06-30,1
2011-07-03,10
2011-08-25,9
2011-08-26,6
2011-08-27,15
2011-08-28,35
2011-08-29,33
2011-08-30,110
2011-08-31,98
2011-09-01,103
2011-09-02,53
2011-09-03,2
2011-09-14,4
2011-09-19,1
2011-12-22,1
2012-02-04,13
2012-03-14,1
2012-04-11,24
2012-04-27,4
2012-05-19,6
2012-05-27,1
2012-07-11,2
2012-07-12,8
2012-07-13,4
2012-07-19,2
2012-08-01,7
2012-08-09,17
2012-08-10,14
2012-08-31,20
2012-09-01,55
2012-09-02,32
2012-09-03,22
2012-09-04,7
2012-09-05,52
2012-09-06,125
2012-09-07,188
2012-09-08,292
2012-09-09,188
2012-09-10,127
2012-09-11,48
2012-09-12,18
2012-09-13,4
2012-09-14,9
2012-09-15,163
2012-09-16,12
2012-09-17,9
2012-09-18,8
2012-09-19,1
2012-12-06,6
2013-03-28,2
2013-03-29,16
2013-03-30,4
2013-04-12,2
2013-04-15,1
2013-04-21,7
2013-05-18,1
2013-06-18,1
2013-06-28,13
2013-06-29,8
2013-07-15,1
2013-08-18,1
2013-09-04,2
2013-09-20,10
2013-09-21,3
2013-09-22,4
2013-09-26,8
2013-09-27,10
2013-09-28,2
2013-09-29,3
2013-09-30,14
2013-10-01,60
2013-10-02,116
2013-10-03,88
2013-10-04,91
2013-10-05,46
2013-10-06,1
2013-10-07,1
2013-10-08,7
2013-10-13,30
2013-12-25,1
2014-01-22,14
2014-03-22,6
2014-03-23,46
2014-04-24,3
2014-05-12,3
2014-05-15,2
2014-06-22,2
